2018-06-20 19:46:11 ERROR (SyncWorker_15) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:12 ERROR (SyncWorker_16) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:46:13 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:15 ERROR (SyncWorker_4) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:17 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:18 ERROR (SyncWorker_8) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:46:19 ERROR (SyncWorker_3) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:21 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:23 ERROR (SyncWorker_15) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:24 ERROR (SyncWorker_2) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:46:25 ERROR (SyncWorker_6) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:27 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:29 ERROR (SyncWorker_11) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:30 ERROR (SyncWorker_3) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:46:31 ERROR (SyncWorker_7) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:33 ERROR (SyncWorker_15) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:35 ERROR (SyncWorker_2) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:36 ERROR (SyncWorker_18) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
2018-06-20 19:46:37 ERROR (SyncWorker_19) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:39 ERROR (SyncWorker_11) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:41 ERROR (SyncWorker_12) [homeassistant.components.binary_sensor.modbus] No response from modbus slave 1 coil 100
2018-06-20 19:46:42 ERROR (SyncWorker_7) [homeassistant.components.sensor.modbus] No response from modbus slave 1, register 120
